标签,置信度,X,Y,宽度,高度,时间戳
person,0.359,1050,1575,74,211,2025-03-16 07:54:52
person,0.303,861,1634,81,163,2025-03-16 07:54:52
person,0.359,1050,1575,74,211,2025-03-16 07:52:24
person,0.303,861,1634,81,163,2025-03-16 07:52:24
